nome,codbairro,regiao_adm,codra,area_plane,Total_de_pessoas_2010,Total_de_pessoas_2022,diferenca_de_pessoas,Total_de_domicilios_2022,Total_DP_2022,Total_DC,Total_DP_Ocup_2010,Total_DP_Ocup_2022,diferenca_de_DP,Shape_Length,Shape_Area,OBJECTID_1
Benfica,012,SAO CRISTOVAO,7,1,25081,21388,-3693,9322,9319,3,7790,8251,461,9097.9904086429,1736417.43740785,70
Sampaio,060,MEIER,13,3,10895,8832,-2063,4158,4015,143,3238,3289,51,5793.72207788203,884410.837998252,71
Glória,016,BOTAFOGO,4,2,9661,7120,-2541,4970,4961,9,4535,3823,-712,7225.2481070283,1140068.54175235,72
Laranjeiras,017,BOTAFOGO,4,2,45554,39692,-5862,20890,20882,8,18767,18061,-706,10537.1287360789,2493514.03433931,73
Catete,018,BOTAFOGO,4,2,24057,22295,-1762,12832,12815,17,10417,10759,342,4260.14774735484,681028.540966541,74
Encantado,068,MEIER,13,3,15021,12405,-2616,6203,6202,1,5216,5044,-172,5995.55499549677,1060149.02244419,75
Cosme Velho,019,BOTAFOGO,4,2,7178,6408,-770,2735,2731,4,2358,2475,117,7889.68145193373,892542.469830599,76
Humaitá,021,BOTAFOGO,4,2,13285,13044,-241,7020,7014,6,5812,6164,352,7100.85581853291,1054478.0944416,77
Leme,023,COPACABANA,5,2,14799,12479,-2320,7391,7383,8,6230,5953,-277,7045.33137927924,977201.642581086,78
Copacabana,024,COPACABANA,5,2,146392,128919,-17473,84715,84630,85,66063,64131,-1932,12803.5162094603,4100861.01091566,79
Ipanema,025,LAGOA,6,2,42743,37392,-5351,23296,23276,20,18437,17867,-570,23487.5578264764,3084915.33765167,80
Botafogo,020,BOTAFOGO,4,2,82890,77018,-5872,42692,42648,44,35027,35637,610,12136.3919389296,4798968.63344845,81
Jardim América,049,VIGARIO GERAL,31,3,25226,20687,-4539,9988,9988,0,8133,7969,-164,6129.78580894803,1973973.76310678,82
Leblon,026,LAGOA,6,2,46044,37709,-8335,22205,22201,4,19595,18038,-1557,7188.67222015611,2153101.6527827,83
Lagoa,027,LAGOA,6,2,21198,18676,-2522,9526,9522,4,8324,8195,-129,10368.0534711564,5109906.83507627,84
Praça da Bandeira,032,TIJUCA,8,2,8662,7215,-1447,4193,4188,5,3435,3252,-183,4727.31258176158,719911.629995197,85
Vila Kosmos,072,IRAJA,14,3,18274,14878,-3396,6517,6516,1,5931,5658,-273,6511.86661964862,1519258.19516718,86
Maracanã,035,VILA ISABEL,9,2,25256,23498,-1758,11983,11977,6,9854,10169,315,8473.32658541025,1667306.66727362,87
Vila Isabel,036,VILA ISABEL,9,2,86018,65790,-20228,33043,33018,25,31100,28120,-2980,9014.57768191261,3217134.51803647,88
Vicente de Carvalho,073,IRAJA,14,3,24964,21300,-3664,9996,9996,0,8303,8362,59,6753.0168459758,1835715.63933275,89
Andaraí,037,VILA ISABEL,9,2,39365,34576,-4789,17283,17277,6,14688,14893,205,9938.11257812439,2261306.49070124,90
Grajaú,038,VILA ISABEL,9,2,38671,32816,-5855,16258,16248,10,14214,13858,-356,12833.731362459,5739119.77279665,91
Manguinhos,039,RAMOS,10,3,36160,28855,-7305,12130,12130,0,10628,10710,82,8090.4094766418,2618358.25166317,92
Bonsucesso,040,RAMOS,10,3,18711,16872,-1839,8271,8266,5,6683,6787,104,8559.00617712874,2199722.08237738,93
Ramos,041,RAMOS,10,3,40792,34453,-6339,16107,16101,6,14098,13595,-503,8911.70508439393,2793540.52923017,94
Olaria,042,RAMOS,10,3,57514,51222,-6292,23715,23708,7,19827,20275,448,12231.0099362439,3689843.10499139,95
Higienópolis,050,INHAUMA,12,3,15734,14227,-1507,7188,7187,1,5422,5721,299,4944.39149877688,1157475.88634444,96
Penha Circular,044,PENHA,11,3,47816,36725,-11091,18249,18238,11,15575,14562,-1013,16639.4226565347,4623394.36403397,97
Brás de Pina,045,PENHA,11,3,59222,45048,-14174,22369,22367,2,19103,17740,-1363,12591.6272452952,3522231.33692138,98
Tomás Coelho,056,INHAUMA,12,3,22676,20343,-2333,9989,9988,1,7554,8092,538,8403.84917314806,1747531.19376336,99
Cordovil,046,VIGARIO GERAL,31,3,45202,34668,-10534,16721,16720,1,14588,13721,-867,13947.7227408181,3856811.47642738,100
São Francisco Xavier,057,MEIER,13,3,8343,6340,-2003,3237,3236,1,2837,2638,-199,5462.17426991829,648909.349749173,101
